"Time","","2016","2017","2018","2019","2020","2021","2022"
"Pacific Island Countries and territories","Urbanization","","","","","","",""
"Indicator: 6.2.1 Population using improved sanitation services","","","","","","","",""
"Micronesia","","","","","","","",""
"·  Kiribati","National","0","0","60.6","0","0","0","0"
"·  Kiribati","Urban","0","0","74.2","0","0","0","0"
"·  Kiribati","Rural","0","0","44.8","0","0","0","0"
"Polynesia","","","","","","","",""
"·  Niue","National","99.6","0","0","0","0","0","0"
"·  Tonga","National","99.8","0","0","0","0","0","0"
"·  Tuvalu","National","97","0","0","0","0","0","0"
